artist,song,section,url,chord_progression
Queen,I Want To Break Free,Verse,http://www.hooktheory.com/theorytab/view/queen/i-want-to-break-free#verse,"1,4,1,5"
Green Day,Oh Love,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/green-day/oh-love#pre-chorus-and-chorus,"1,4,1,5"
Jeff Marx and Robert Lopez,The Internet Is For Porn,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/jeff-marx-and-robert-lopez/the-internet-is-for-porn#verse-and-pre-chorus,"1,4,1,5"
Grandaddy,The Go in the Go-For-It,Verse,http://www.hooktheory.com/theorytab/view/grandaddy/the-go-in-the-go-for-it#verse,"1,4,1,5"
Van Morrison,Brown Eyed Girl,Chorus,http://www.hooktheory.com/theorytab/view/van-morrison/brown-eyed-girl#chorus,"1,4,1,5"
Queen,Crazy Little Thing Called Love,Verse,http://www.hooktheory.com/theorytab/view/queen/crazy-little-thing-called-love#verse,"1,4,1,5"
Takahashi Yu,Genjitsu to Iu Na no Kaibutsu to Tatakau MonoTachi,Verse and Pre-Chorus,http://www.hooktheory.com/theorytab/view/takahashi-yu/genjitsu-to-iu-na-no-kaibutsu-to-tatakau-monotachi#verse-and-pre-chorus,"1,4,1,5"
The Beatles,With A Little Help From My Friends,Verse,http://www.hooktheory.com/theorytab/view/the-beatles/with-a-little-help-from-my-friends#verse,"1,4,1,5"
The Beatles,Ob-La-Di Ob-La-Da,Verse,http://www.hooktheory.com/theorytab/view/the-beatles/ob-la-di-ob-la-da#verse,"1,4,1,5"
Owl City,Alligator Sky,Chorus,http://www.hooktheory.com/theorytab/view/owl-city/alligator-sky#chorus,"1,4,1,5"
Kids Songs,Old MacDonald Had a Farm,Outro,http://www.hooktheory.com/theorytab/view/kids-songs/old-macdonald-had-a-farm#outro,"1,4,1,5"
Coldplay,Paradise,Intro,http://www.hooktheory.com/theorytab/view/coldplay/paradise#intro,"1,4,1,5"
Coldplay,Paradise,Pre-Chorus,http://www.hooktheory.com/theorytab/view/coldplay/paradise#pre-chorus,"1,4,1,5"
Taylor Swift,Safe and Sound,Verse,http://www.hooktheory.com/theorytab/view/taylor-swift/safe-and-sound#verse,"1,4,1,5"
Michael Franti - Spearhead,Say Hey - I Love You,Chorus,http://www.hooktheory.com/theorytab/view/michael-franti---spearhead/say-hey---i-love-you#chorus,"1,4,1,5"
Hanson,MMMBop,Chorus,http://www.hooktheory.com/theorytab/view/hanson/mmmbop#chorus,"1,4,1,5"
B-Witched,C'est La Vie,Pre-Chorus and Chorus,http://www.hooktheory.com/theorytab/view/b-witched/cest-la-vie#pre-chorus-and-chorus,"1,4,1,5"
The Shins,New Slang,Intro,http://www.hooktheory.com/theorytab/view/the-shins/new-slang#intro,"1,4,1,5"
The Shins,New Slang,Verse,http://www.hooktheory.com/theorytab/view/the-shins/new-slang#verse,"1,4,1,5"
Queen,I Want To Break Free,Pre-Outro,http://www.hooktheory.com/theorytab/view/queen/i-want-to-break-free#pre-outro,"1,4,1,5"
Backstreet Boys,Shape of My Heart,Chorus,http://www.hooktheory.com/theorytab/view/backstreet-boys/shape-of-my-heart#chorus,"1,4,1,5"
Asher Roth,I Love College,Chorus,http://www.hooktheory.com/theorytab/view/asher-roth/i-love-college#chorus,"1,4,1,5"
Dusty Springfield,I Only Want To Be With You,Bridge,http://www.hooktheory.com/theorytab/view/dusty-springfield/i-only-want-to-be-with-you#bridge,"1,4,1,5"
The Tokens,The Lion Sleeps Tonight,Verse,http://www.hooktheory.com/theorytab/view/the-tokens/the-lion-sleeps-tonight#verse,"1,4,1,5"
The Tokens,The Lion Sleeps Tonight,Chorus,http://www.hooktheory.com/theorytab/view/the-tokens/the-lion-sleeps-tonight#chorus,"1,4,1,5"
Schoolhouse Rock,The Preamble,Chorus,http://www.hooktheory.com/theorytab/view/schoolhouse-rock/the-preamble#chorus,"1,4,1,5"
Jo Dee Messina,I'm Alright,Chorus,http://www.hooktheory.com/theorytab/view/jo-dee-messina/im-alright#chorus,"1,4,1,5"
Jo Dee Messina,I'm Alright,Verse,http://www.hooktheory.com/theorytab/view/jo-dee-messina/im-alright#verse,"1,4,1,5"
Dixie Chicks,Goodbye Earl,Verse,http://www.hooktheory.com/theorytab/view/dixie-chicks/goodbye-earl#verse,"1,4,1,5"
Dixie Chicks,Goodbye Earl,Chorus,http://www.hooktheory.com/theorytab/view/dixie-chicks/goodbye-earl#chorus,"1,4,1,5"
Thompson Square,Are You Gonna Kiss Me Or Not,Chorus,http://www.hooktheory.com/theorytab/view/thompson-square/are-you-gonna-kiss-me-or-not#chorus,"1,4,1,5"
Buddy Holly,Everyday,Verse,http://www.hooktheory.com/theorytab/view/buddy-holly/everyday#verse,"1,4,1,5"
